rank,Name,team_id,country,score,events
1,UofTCTF,139261,Canada,112.58,2
2,0xFUN,354033,Saudi Arabia,77.232,4
3,krauq,248318,United States,76.918,6
4,0xf1sh,299716,United States,69.679,3
5,The Flat Network Society,87434,France,67.991,3
6,r3kapig,58979,China,66.98,1
7,f4n_n3r0,281734,Viet Nam,54.541,5
8,0xN1umb,416151,Algeria,50.265,5
9,GR3B0M4,381071,Russian Federation,49.238,2
10,H-T8,376192,Finland,48.749,6
11,Beavers0,269281,Belarus,46.84,1
12,Pudge Fun Club,360461,Russian Federation,46.84,1
13,ScarletCTF,226444,United States,45.6,1
14,0bscuri7y,370140,India,44.929,4
15,Project Sekai,169557,idk,44.498,1
16,Knight Squad,141739,Bangladesh,44.42,1
17,FR13NDS TEAM,155678,Kazakhstan,43.551,3
18,JordanSec,260705,Jordan,43.228,4
19,Breach Cyber Security,401294,Russian Federation,41.887,5
20,CTF.mn,419053,Mongolia,38.748,3
21,0xb00b5,171794,Russian Federation,38.198,4
22,bunkyowesternsteam,419275,idk,36.663,3
23,NoENV,389643,Kazakhstan,36.38,5
24,Capybaras,223931,Russian Federation,35.13,1
25,Null Script Infiltrators,394081,Bangladesh,34.983,4
26,".;,;.",222911,United States,33.936,1
27,W4llz,397301,idk,33.709,4
28,MindCrafters,284686,Poland,33.658,5
29,Neomware,406663,Saudi Arabia,33.368,4
30,qusaeri team,416988,idk,33.314,3
31,CYBERDUNE CLUB,409835,Morocco,33.015,6
32,mimicats,271292,Kazakhstan,32.793,3
33,SoloTech,417206,Russian Federation,32.715,4
34,LCF,57347,United States,32.303,3
35,P3WP3W,196036,Romania,31.54,4
36,bUg_0r_f34tur3,409142,"Taiwan, Republic of China",31.452,4
37,UniverSea,371632,Viet Nam,31.097,3
38,Rea11y Annoying Bots(RAB),394229,Bangladesh,30.819,6
39,UAZ,79336,idk,30.654,5
40,CSUI,70551,Indonesia,30.175,5
41,LappungCTF{},410251,Indonesia,30.07,6
42,0xHackDuck,412806,Kazakhstan,29.987,3
43,VSL.Sp33d_Of_T1m3,414720,Viet Nam,29.824,7
44,JAGIC,419145,United States,29.262,4
45,R_OxPloit3rs,408809,Bangladesh,28.701,6
46,MazuBot,416141,"Taiwan, Republic of China",28.656,5
47,LOLExEc,410745,Norway,28.499,5
48,0xPavel376,419768,Russian Federation,28.266,1
49,Infobahn,364723,idk,28.246,1
50,Sanrioholic,113364,Hong Kong,28.116,5
51,N0_captur3_flag?:_(,361594,Russian Federation,27.095,1
52,Pho Society,382392,Malaysia,27.069,3
53,TongDak,404969,"Korea, Republic of",26.629,1
54,SlenderMan,84952,Bermuda,25.996,2
55,The Amazing Digital Orange!,248480,"Korea, Republic of",25.576,1
56,CyberRookie,372632,Bangladesh,25.458,2
57,f.society,351982,Russian Federation,25.315,1
58,bananna,95512,Singapore,25.22,4
59,Lv1x,394012,Malaysia,24.848,5
60,tjcsc,53812,United States,24.721,5
61,RBLX-Labs SegFault,408130,Indonesia,24.679,6
62,RootRunners,406718,Italy,24.485,5
63,memdmp,380572,India,24.161,3
64,Les Handicapés,369045,Morocco,24.002,3
65,Schrödinger Bears,304586,Pakistan,23.975,4
66,xylo,368866,Uzbekistan,23.906,5
67,paparatz' kvetka,275903,Belarus,23.773,1
68,HEXappeal,419144,United Kingdom,23.7,2
69,SU,29641,China,23.587,2
70,L0ck8y7e,350754,Egypt,23.322,2
71,r00tk1t,83673,idk,23.025,1
72,TCP1P,187248,Indonesia,22.963,3
73,SimianSec,419046,France,22.903,1
74,daywave.,389611,Russian Federation,22.355,1
75,Temperature0,419024,Algeria,22.261,2
76,The power of Elijah,368793,Russian Federation,22.202,1
77,P3xu4nMai,419769,idk,22.074,1
78,PwnSec,28797,idk,21.806,2
79,organizers,42934,Switzerland,21.132,3
80,VinSOC,414698,Viet Nam,21.02,3
81,BESchildren,417919,idk,20.979,1
82,RubiyaLab,303159,"Korea, Republic of",20.781,2
83,hackratic,300432,Mongolia,20.502,5
84,Mi9chada,418761,Morocco,20.329,2
85,Elden_Cat,418760,Hong Kong,20.177,4
86,G.H.O.S.T,396952,"Korea, Republic of",19.966,2
87,400BadRequest,354531,Philippines,19.655,2
88,Cryptonite,62713,India,19.626,4
89,БАГодельня,380161,Russian Federation,18.96,1
90,IQ-toppene,109611,Norway,18.908,1
91,glzjinsbot,417067,"Korea, Democratic People's Republic of",18.759,3
92,n3m3s1s,185401,Viet Nam,18.715,3
93,ACERGION,175853,Bangladesh,18.699,3
94,Flagsomnia,128998,India,18.662,2
95,CYBERJIGAS,381364,Kazakhstan,18.601,2
96,hello world has been taken,418254,Hong Kong,18.483,4
97,The Black Onion,229569,Bangladesh,18.434,1
98,Phish Paprikaš,229332,Croatia,18.294,2
99,Red Katana,422002,idk,18.26,1
100,Nusahack,408539,Indonesia,18.222,4
101,DU_Lords_Association,422003,idk,18.187,1
102,Amish_CTF_CLUB,419273,idk,18.151,3
103,Banbits,411985,Romania,18.051,2
104,zyzyzyzy,412754,Philippines,18.018,6
105,LLM TEAM,419770,idk,17.87,1
106,Solo [Nepal],80857,Nepal,17.799,4
107,CrypteraNet,419132,Jordan,17.798,4
108,Na_Zavod!,412891,Russian Federation,17.741,2
109,Win+X,405373,idk,17.679,1
110,milworms,287651,Ukraine,17.563,2
111,_MIR4GE,413277,Morocco,17.534,3
112,Zapatista,30613,Indonesia,17.379,2
113,Team StellarFlare,405124,"Korea, Republic of",16.621,6
114,Tenesys,22044,Indonesia,16.541,5
115,kteam,44583,idk,16.521,1
116,Xyl0n,383074,Indonesia,16.465,3
117,SKSD,211952,Indonesia,16.356,1
118,BlackArc,404961,India,16.286,3
119,1ts_n0t_s0_e4sy_my_h0n3y,407417,Russian Federation,16.282,3
120,NovaX,386536,Egypt,16.028,6
121,pepeW,419271,idk,15.953,1
122,1c3Gh3tt0,299748,Greece,15.886,2
123,Diethylazodicarboxylate,367609,Nepal,15.861,3
124,WhiteOps - AUI,285880,Morocco,15.784,5
125,HackCompetitiveProgramming,410263,Viet Nam,15.689,4
126,ZeroHunters,357417,Viet Nam,15.659,3
127,HCS,70159,Indonesia,15.427,4
128,Underr00ted,385890,Algeria,15.425,1
129,Twilight.,407678,Viet Nam,15.243,4
130,CTF Тараканы,419771,idk,15.142,1
131,Te4m Ak4tsuk1,368178,Bangladesh,15.064,1
132,BlitzHack,307415,India,14.938,3
133,time_to_leave,416893,idk,14.909,4
134,iRunner 2 Team,419772,idk,14.807,1
135,Shellskapsresan,361941,Sweden,14.762,3
136,Hello Word,210892,idk,14.66,1
137,Ph4nt0mr00t,405903,Jordan,14.577,2
138,IMRNES,419965,Indonesia,14.472,4
139,MeowSec,283236,India,14.407,2
140,On3Cl1ck,419272,idk,14.35,1
141,!Time_For_418,285931,Australia,14.343,3
142,ResetSec,266022,Antarctica,14.127,2
143,Ex0rcists,311156,India,14.116,5
144,Cosmic Bit Flip,372043,United States,14.108,1
145,DarkArmy,26569,India,13.941,4
146,Я не видел женщин уже десять тысяч лет!!,419773,idk,13.768,1
147,valgrind,355817,Saint Vincent and the Grenadines,13.642,2
148,re: elf,368765,Russian Federation,13.609,1
149,Dark 4rmy,422004,idk,13.502,1
150,<Hack4Bug>,422005,idk,13.472,1
151,MadrHacks,114509,Italy,13.424,3
152,> r0/dev/null,305658,Romania,13.334,2
153,4hats,380823,Jordan,13.256,4
154,justCatTheFish,33893,Poland,13.169,1
155,Cybervariors,401372,idk,13.136,1
156,Security First,1708,"Korea, Republic of",13.089,2
157,RaptX,357584,idk,13.047,2
158,cyberplanet,385457,United States,12.967,1
159,DU_SSTI,418770,idk,12.958,2
160,__bits_united,417338,Greece,12.852,4
161,KattangalSec,373093,India,12.843,3
162,Integrated Hawkers,299872,Bangladesh,12.736,1
163,AI-DOSA,412170,idk,12.7,3
164,Lil:Pwny,400939,Philippines,12.522,4
165,.dot,419774,Russian Federation,12.507,1
166,Blue Lock Eleven,368467,Nepal,12.429,4
